   37.00     5.00   44.6   57.8   -999   -999
   37.00     6.00   65.3   56.3   -999   -999
   43.00      .00   78.5   80.2     72     69
   43.00     1.00   78.5   80.2     72     69
   43.00     2.00   79.3   89.5     72     69
   43.00     5.00   64.4   81.5     72     69
   43.00     6.00   78.1   77.4     72     69
   44.00      .00   71.0   76.0     56     69
   44.00     1.00   71.0   76.0     56     69
   44.00     2.00   77.1   85.1     56     69
   44.00     5.00   64.4   95.1     56     69
   44.00     6.00   69.7   72.8     56     69
   45.00      .00   73.1   67.2     61     67
   45.00     1.00   73.2   67.2     61     67
   45.00     2.00   72.8   72.0     61     67
   45.00     5.00   73.2   78.0     61     67
   45.00     6.00   73.2   66.9     61     67
   46.00      .00   73.1   67.2     61     67
   46.00     1.00   73.2   67.2     61     67
   46.00     2.00   72.8   72.0     61     67
   46.00     5.00   73.2   78.0     61     67
   46.00     6.00   73.2   66.9     61     67
   47.00      .00   72.6   67.2     66     71
   47.00     1.00   72.6   67.2     66     71
   47.00     2.00   71.5   78.6     66     71
   47.00     5.00   83.2   78.0     66     71
   47.00     6.00   72.6   66.9     66     71
   48.00      .00   72.6   67.2     66     71
   48.00     1.00   72.6   67.2     66     71
   48.00     2.00   71.5   78.6     66     71
   48.00     5.00   83.2   78.0     66     71
   48.00     6.00   72.6   66.9     66     71
   49.00      .00   71.0   76.0     56     69
   49.00     1.00   71.0   76.0     56     69
   49.00     2.00   77.1   85.1     56     69
   49.00     5.00   64.4   95.1     56     69
   49.00     6.00   69.7   72.8     56     69
   53.00      .00   68.9   75.4     70     69
   53.00     1.00   68.9   75.4     70     69
   53.00     2.00   71.7   72.0     70     69
   53.00     5.00   69.0   75.5     70     69
   53.00     6.00   68.7   75.5     70     69
   54.00      .00   67.0   73.0     56     79
   54.00     1.00   67.0   73.0     56     79
   54.00     2.00   71.4   82.9     56     79
   54.00     5.00   76.8   50.6     56     79
   54.00     6.00   66.4   71.9     56     79
   55.00      .00   68.8   73.3     65     68
   55.00     1.00   68.8   73.3     65     68
   55.00     2.00   72.1   82.1     65     68
   55.00     5.00   68.9   73.3     65     68
   55.00     6.00   68.7   73.2     65     68
   56.00      .00   71.0   76.0     56     69
   56.00     1.00   71.0   76.0     56     69
