   10 69.5 65.1   55   51
   11 85.2 81.1   70   67
   13 66.1 62.9   51   50
   20 92.4 89.3   70   62
   21 99.0 99.0   69   63
   22 89.4 84.8   80   70
   23 89.7 91.4   69   61
   24 86.6 84.1   68   60
   30 71.0 73.8   54   48
   31 64.7 68.5   50   48
   32 69.7 74.7   48   51
   33 85.6 78.3   38   50
   34 73.1 71.8   55   48
   40 63.6 60.7   45   37
   41 63.3 61.7   45   37
   42 64.6 57.7   49   39
   50 50.9 47.1   40   32
   51 48.0 45.1   38   32
   52 54.2 51.1   43   31
   60 46.7 37.9   23   37
   61 46.7 37.9   23   38
   70 39.1 38.6   34   38
   71 36.0 37.7   31   34
   72 44.0 50.5   34   40
   73 43.5 42.0   34   39
   74 37.9 37.7   33   33
   80 39.1 38.3   31   34
   81 35.9 40.1   30   36
   82 38.2 38.0   32   34
   83 40.3 40.1   32   33
   84 40.3 40.1   24   33
   90 40.5 40.5   20   21
   91 44.6 41.9   25   23
   92 41.8 36.5   16   23
   93 36.6 40.4   23   18
